"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"cots_camera:COTS_Camera:1                   ","Class","COTS_Camera","1.0","cots_camera","This Discipline LDD is intended for metadata specific to Commercial Off The Shelf (COTS) cameras. It will often contain EXIF-type keywords specific to a given camera model. The intent is to hold metadata that does not fit elsewhere. For example, if the IMG LDD has a place to store the metadata, it should generally be used in preference to this LDD.","img","","","","","","","","","","",""
"cots_camera:COTS_Camera:2                    cots_camera:camera_type:1                   ","Attribute","camera_type","n/a","cots_camera","The general type of camera. Corresponds to which type_Metadata class is used in this label. Type=None should not generally be used but is available if none of the type_Metadata classes apply.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:COTS_Camera:2                    cots_camera:camera_type:2                    Value:Nikon","Value","Nikon","","","Nikon"
"cots_camera:COTS_Camera:2                    cots_camera:camera_type:2                    Value:None","Value","None","","","None"
"cots_camera:COTS_Camera:2                    cots_camera:camera_name:1                   ","Attribute","camera_name","n/a","cots_camera","The name including model number of the camera. This should be sufficiently precise that someone could go purchase a similar camera (assuming they're still being sold).","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Camera_Orientation:1            ","Class","Camera_Orientation","1.0","cots_camera","This class contains the orientation of the camera derived from its internal sensors. These are usually from tilt sensors in the camera. Note that in non-terrestrial environments these values may be of limited use. For example, tilt sensors are of no use in microgravity, and while they might work on the Moon, yaw generally has to be determined by GPS which is unavailable there. These values are not in the Geometry LDD because of the difficulty of precisely defining the reference coordinate system.","img","","","","","","","","","","",""
"cots_camera:Camera_Orientation:2             cots_camera:pitch:1                         ","Attribute","pitch","n/a","cots_camera","The pitch angle of the camera body, generally perpendicular to the lens axis.","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"cots_camera:Camera_Orientation:2             cots_camera:pitch_status:1                  ","Attribute","pitch_status","n/a","cots_camera","Indicates the trustworthiness of the pitch measurement. Possible values include ""Fine"", ""Coarse"", ""Unusable"". Note that unusable values may be simply omitted.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Camera_Orientation:2             cots_camera:roll:1                          ","Attribute","roll","n/a","cots_camera","The roll angle of the camera body, generally about the lens axis.","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"cots_camera:Camera_Orientation:2             cots_camera:roll_status:1                   ","Attribute","roll_status","n/a","cots_camera","Indicates the trustworthiness of the roll measurement. Possible values include ""Fine"", ""Coarse"", ""Unusable"". Note that unusable values may be simply omitted.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Camera_Orientation:2             cots_camera:yaw:1                           ","Attribute","yaw","n/a","cots_camera","The yaw angle of the camera body, generally about the vertical axis at the camera location.","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"cots_camera:Camera_Orientation:2             cots_camera:yaw_status:1                    ","Attribute","yaw_status","n/a","cots_camera","Indicates the trustworthiness of the yaw measurement. Possible values include ""Fine"", ""Coarse"", ""Unusable"". Note that unusable values may be simply omitted.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Nikon_Metadata:1                ","Class","Nikon_Metadata","1.0","cots_camera","This class reproduces Nikon-specific keywords from the EXIF metadata for Nikon Electronic Format (NEF) images. These keywords are generally undocumented, representing parameters for Nikon-specific algorithms and camera capabilities. The keywords that seem most useful are represented in this LDD. Although the meanings are not precisely defined, they can often be inferred at least in a qualitative sense from the name, and the open source community is likely to provide more details over time. Some of the keywords here seem to be redundant with multimission keywords in other LDDs such as Imaging. However, a closer look shows different valid lists and subtle differences in meaning. In these cases we retain both. Some keywords unambiguously match existing Imaging keywords; these are generally not duplicated here. The keywords have been arbitrarily grouped into categories in order to help organize them; these categories are not reflected in the NEF labels themselves.","img","","","","","","","","","","",""
"cots_camera:Autofocus:1                     ","Class","Autofocus","1.0","cots_camera","The Autofocus class contains attributes uses to identify or describe the algorithm and settings used to automatically focus the lens.","img","","","","","","","","","","",""
"cots_camera:Autofocus:2                      cots_camera:af_aperture:1                   ","Attribute","af_aperture","n/a","cots_camera","The size of the lens opening, or aperture value, which controls the amount of light entering the camera during autofocusing.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_area_mode:1                  ","Attribute","af_area_mode","n/a","cots_camera","Refers to the autofocus mode selected for focusing. Includes Single Point, Dynamic Area, and/or Auto Area AF. Mode availability depends on the capabilities of a specific camera model.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_c_priority_selection:1       ","Attribute","af_c_priority_selection","n/a","cots_camera","Indicates whether the camera will prioritize achieving focus or shot capture while in continuous autofocus mode and if the subject cannot be quickly locked on. Focus Priority will only capture a photograph once the subject has been properly focused. Release Priority will take a shot regardless of whether or not focus has been achieved.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_detection_method:1           ","Attribute","af_detection_method","n/a","cots_camera","Refers to the method the autofocus system uses to detect focus. This can include methods such as Contrast Detection or Phase Detection, depending on the capabilities of the camera model.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_fine_tune:1                  ","Attribute","af_fine_tune","n/a","cots_camera","Details, typically expressed in micro-adjustments (e.g., +5 or -10), on any calibration made to the autofocus system to improve accuracy.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_info_2_version:1             ","Attribute","af_info_2_version","n/a","cots_camera","Indicates the version number of the camera's autofocus information.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_point_brightness:1           ","Attribute","af_point_brightness","n/a","cots_camera","Refers to the intensity of the indicator that shows which focus point(s) are selected.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_points_in_focus:1            ","Attribute","af_points_in_focus","n/a","cots_camera","Indicates how many of the selected autofocus points achieved focus on the subject.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_points_used:1                ","Attribute","af_points_used","n/a","cots_camera","Indicates how many autofocus points where actively engaged during the shot.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:af_s_priority_selection:1       ","Attribute","af_s_priority_selection","n/a","cots_camera","Indicates whether the camera prioritizes on achieving a sharp focus before allowing the shutter to release in single autofocus mode. Focus Priority will only release the shutter once it has achieved focus on the subject. Release Priority will allow the shutter to be released even if focus has not been achieved.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:block_shot_af_response:1        ","Attribute","block_shot_af_response","n/a","cots_camera","Describes the camera's autofocus behaviour when shooting in burst mode. This indicates whether focus is locked for the entire burst or adjusted between shots.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:focus_point_schema:1            ","Attribute","focus_point_schema","n/a","cots_camera","Describes the arragements or pattern of selected autofocus points.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:focus_point_wrap:1              ","Attribute","focus_point_wrap","n/a","cots_camera","Indicates whether focus points wrap around when reaching the edge of the selection grid. Typically On or Off.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:Autofocus:2                      cots_camera:number_of_focus_points:1        ","Attribute","number_of_focus_points","n/a","cots_camera","Indicates how many autofocus points are available to the camera.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
