"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"cots_camera:COTS_Camera:1                   ","Class","COTS_Camera","1.0","cots_camera","This Discipline LDD is intended for metadata specific to Commercial Off The Shelf (COTS) cameras. It will often contain EXIF-type keywords specific to a given camera model. The intent is to hold metadata that does not fit elsewhere. For example, if the IMG LDD has a place to store the metadata, it should generally be used in preference to this LDD.","img","","","","","","","","","","",""
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:1                 ","Attribute","camera_vendor","n/a","cots_camera","Specifies the camera vendor, make, or manufacturer.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:Apple","Value","Apple","","","Camera manufactured by Apple"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:Canon","Value","Canon","","","Camera manufactured by Canon"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:Custom","Value","Custom","","","A custom or purpose-built camera"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:GoPro","Value","GoPro","","","Camera manufactured by GoPro"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:Hasselblad","Value","Hasselblad","","","Camera manufactured by Hasselblad"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:Leica","Value","Leica","","","Camera manufactured by Leica"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:Nikon","Value","Nikon","","","Camera manufactured by Nikon"
"cots_camera:COTS_Camera:2                    cots_camera:camera_vendor:2                  Value:Sony","Value","Sony","","","Camera manufactured by Sony"
"cots_camera:COTS_Camera:2                    cots_camera:camera_name:1                   ","Attribute","camera_name","n/a","cots_camera","The name including model number of the camera. This should be sufficiently precise that someone could go purchase a similar camera (assuming they're still being sold).","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
